iter	Passed	Remaining
725	1552	586
726	1554	583
727	1555	581
728	1556	578
729	1560	577
730	1563	575
731	1565	573
732	1566	570
733	1568	568
734	1569	565
735	1570	563
736	1573	561
737	1574	558
738	1592	562
739	1594	560
740	1595	557
741	1597	555
742	1598	552
743	1599	550
744	1601	548
745	1604	546
746	1606	544
747	1607	541
748	1608	539
749	1609	536
750	1610	534
751	1611	531
752	1613	529
753	1614	526
754	1617	524
755	1619	522
756	1620	520
757	1621	517
758	1623	515
759	1624	512
760	1625	510
761	1626	508
762	1628	505
763	1632	504
764	1635	502
765	1638	500
766	1639	497
767	1640	495
768	1641	493
769	1646	491
770	1648	489
771	1651	487
772	1652	485
773	1654	482
774	1655	480
775	1658	478
776	1660	476
777	1662	474
778	1664	472
779	1665	469
780	1667	467
781	1669	465
782	1684	466
783	1686	464
784	1691	463
785	1693	460
786	1694	458
787	1696	456
788	1697	454
789	1699	451
790	1704	450
791	1707	448
792	1709	446
793	1710	443
794	1712	441
795	1714	439
796	1716	437
797	1718	435
798	1720	432
799	1723	430
800	1725	428
801	1726	426
802	1730	424
803	1731	422
804	1736	420
805	1738	418
806	1739	416
807	1741	413
808	1744	411
809	1746	409
810	1748	407
811	1750	405
812	1752	403
813	1755	401
814	1758	399
815	1763	397
816	1764	395
817	1767	393
818	1769	390
819	1770	388
820	1771	386
821	1773	384
822	1775	381
823	1778	379
824	1779	377
825	1781	375
826	1782	372
827	1785	370
828	1787	368
829	1788	366
830	1790	364
831	1791	361
832	1792	359
833	1794	357
834	1795	354
835	1797	352
836	1799	350
837	1800	348
838	1801	345
839	1803	343
840	1805	341
841	1806	338
842	1807	336
843	1808	334
844	1812	332
845	1813	330
846	1816	328
847	1817	325
848	1818	323
849	1819	321
850	1821	318
851	1822	316
852	1823	314
853	1825	312
854	1826	309
855	1827	307
856	1828	305
857	1830	302
858	1831	300
859	1832	298
860	1833	295
861	1834	293
862	1836	291
863	1837	289
864	1839	287
865	1840	284
866	1841	282
867	1843	280
868	1844	278
869	1845	275
870	1847	273
871	1848	271
872	1850	269
873	1851	266
874	1852	264
875	1853	262
876	1854	260
877	1856	257
878	1857	255
879	1858	253
880	1859	251
881	1861	248
882	1862	246
883	1864	244
884	1865	242
885	1866	240
886	1867	237
887	1868	235
888	1870	233
889	1871	231
890	1872	229
891	1874	226
892	1875	224
893	1876	222
894	1878	220
895	1879	218
896	1880	215
897	1881	213
898	1882	211
899	1883	209
900	1885	207
901	1886	204
902	1889	203
903	1891	200
904	1892	198
905	1893	196
906	1895	194
907	1897	192
908	1898	190
909	1899	187
910	1901	185
911	1903	183
912	1904	181
913	1905	179
914	1907	177
915	1909	175
916	1912	173
917	1917	171
918	1918	169
919	1920	166
920	1921	164
921	1923	162
922	1924	160
923	1926	158
924	1927	156
925	1930	154
926	1932	152
927	1933	149
928	1934	147
929	1935	145
930	1937	143
931	1938	141
932	1939	139
933	1941	137
934	1942	135
935	1944	132
936	1945	130
937	1947	128
938	1948	126
939	1950	124
940	1951	122
941	1952	120
942	1954	118
943	1955	116
944	1957	113
945	1958	111
946	1960	109
947	1961	107
948	1963	105
949	1964	103
950	1966	101
951	1967	99
952	1969	97
953	1970	95
954	1973	92
955	1974	90
956	1975	88
957	1977	86
958	1978	84
959	1980	82
960	1982	80
961	1984	78
962	1986	76
963	1987	74
964	1989	72
965	1991	70
966	1992	67
967	1993	65
968	1994	63
969	1996	61
970	1998	59
971	2001	57
972	2002	55
973	2004	53
974	2005	51
975	2007	49
976	2009	47
977	2010	45
978	2011	43
979	2013	41
980	2016	39
981	2018	36
982	2019	34
983	2020	32
984	2021	30
985	2023	28
986	2024	26
987	2025	24
988	2027	22
989	2028	20
990	2030	18
991	2032	16
992	2034	14
993	2035	12
994	2037	10
995	2038	8
996	2040	6
997	2041	4
998	2043	2
999	2045	0
